review,polarity,sentiment
one of the popular campuses in malang the people are friendly and the facilities are quite complete but here the distance between the buildings is quite far if you move from class to another building it feels really tiring the trees are still lacking and the downside is still,0.275,Positive
i visited here to take my sister to study here many of my teachers study here hopefully we will produce many graduates who will be of great benefit to the nation the campus is cool spacious neatly arranged,0.5375,Positive
the clean campus is cool and nice for hanging out in the hallway,0.4388888888888889,Positive
sunday morning try going for a morning walk with your wife in a beautiful clean environment with lots of very shady trees inside nice clean fresh air,0.3597222222222222,Positive
the vocational faculty is still new and needs to be managed properly and correctly according to procedures in applied sciences according to the regulations of the ministry of education and culture hopefully it will continue to work in a way that is beneficial to its graduates,0.14545454545454545,Positive
one of ptn bh's favorite campuses and the best educational campus in east java,0.5833333333333334,Positive
an environmentally friendly place to study you can harvest large quantities of juwet mangoes jackfruit hahahahhaa there are lots of trees so they are very fresh,0.32642857142857146,Positive
complete facilities good service and calm atmosphere,0.3666666666666667,Positive
a beautiful view especially when the flowers are blooming,0.425,Positive
the place is comfortable shady which i like the most when i enter the toilet wow the smell of the room is very clean,0.1988888888888889,Positive
the campus is good the education is also good the facilities are quite complete the lecturers are also quite good i really like it when there are events at gracak this campus is good um this is one of my favorite campuses in east java,0.5142857142857143,Positive
all departments are ok the modern classic university building makes it fresh it won't hurt if one day you come here i personally am very proud to visit this um,0.4333333333333333,Positive
i like to spend my free time on campus there are lots of spots to sit and do work the rectorate building don't ask it's nice it's clean and the mosque makes you feel at home there for a long time,0.32916666666666666,Positive
really nice place comfortable complete facilities and lots of cool new buildings students study with enthusiasm and really achieve your dreams by taking advantage of the knowledge from the lecturers to achieve success,0.29805194805194807,Positive
the campus is spacious now there are lots of new buildings the parking area is comfortable there are lots of trees the lectures are also nice the campus environment supports the learning process now there are lots of new facilities which really help there are lots of innovations and updates to the lecture system which makes things easier for students too,0.2945454545454545,Positive
uk is getting better day by day and new buildings are being built the facilities are more complete the classrooms are now better the campus is cool the library is clean and comfortable,0.3566287878787879,Positive
i study here the place is comfortable and beautiful the best classroom i have ever stayed in namely at gkb,0.75,Positive
the atmosphere on campus is very pleasant cool green meeting friendly people,0.3695833333333333,Positive
malang state university is very good in every aspect starting from educational equipment supporting education even the environment is very supportive of teaching and learning activities incidentally i am currently carrying out an internship program,0.3433333333333333,Positive
the place is really beautiful there are lots of trees inside construction continues to be carried out to create a nice and comfortable campus for students the strategic location is comfortable and safe especially in the graha horizon building which is often used for big events like concerts seminars and vaccine events like the picture i attached here hehehe,0.39285714285714285,Positive
one of the best state campuses in malang east java and in indonesia the top department is teachers there are also other top departments and even the top one namely english literature the campus is very wide in and out of stnk,0.32071428571428573,Positive
um is a tertiary institution within the ministry of education and culture under the guidance of the directorate general of higher education located in the city of malang and the city of blitar east java province,0.15000000000000002,Positive
car free day why does it have to be on friday which hinders and makes it difficult for those who want to pray on friday shift it to saturday and sunday it's also a day that's okay,0.13333333333333333,Positive
a campus that is always longed for by alumni to continue their studies to a higher level postgraduate,0.25,Positive
the campus is spacious the atmosphere is shady and access to good locations the layout is good and there is a rectorate house building which is usually used as a photo spot for students,0.22499999999999998,Positive
after the pandemic many facilities and infrastructure have been repaired and the mosque has been added to be better there are several courses packaged with fun lecturers who are competent in their fields,0.36,Positive
one of the state universities in the city of malang the campus area is spacious and beautiful because there are many green areas and parks on campus the facilities are also complete to support student needs,0.31250000000000006,Positive
i'm so happy to have been a student um all the memories during college are very memorable um hopefully you will progress further,0.4833333333333334,Positive
feel happy to be part of one of the visionary campuses,0.8,Positive
the spacious campus is clean and shady the learning atmosphere is cool grateful to be able to study here,0.24166666666666667,Positive
a place to study with adequate facilities and infrastructure,0.3333333333333333,Positive
malang state university's mandarin language center is one of the service sectors that you can use to learn mandarin the building is located at the gate of jalan semarang precisely behind the relations building,-0.25,Negative
learning campus here i learn the meaning of friendship integrity loyalty and friend loyalty welcome to joining the lpdp um,0.8,Positive
the malang state university museum building is an old ikip building which was inaugurated in 1995 by muhammad yamin and zainoel arifin currently the museum is closed and not open to the public because there are still several things that need to be repaired one of which is that the road around the museum is still full of potholes,0.049999999999999996,Positive
the printing campus has lots of educators and now there are also lots of professional staff the place is spacious and beautiful lots of places to chat and discuss lots of instagrammable photo spots,0.475,Positive
